titre_memoire;nom_encadreur
Conservation des aubergines (Solanum aethiopica) par séchage;Dr MEZAJOUG KENFACK Laurette Blandine
Configuration des processus opérationnels dans l’unité de production du GIC-JGEPROL;Dr NKOUAM Gilles Bernard
Audit  et actualisation des protocoles de nettoyage des équipements de SOGOPROCAM;Dr ABDOU BOUBA Armand
Évaluation des méthodes d’analyse de  Camlait-Bassa  et détermination de quelques paramètres physico-chimiques du lait.;Dr PONKA Roger
Conception et dimensionnement de la chaîne de production de boisson aromatisée au lait : cas de GOLDLAIT;Pr DANWE RAIDANDI
Efficacité comparée des désinfectants utilisés pour le nettoyage en place : Cas de CAMLAIT;Dr DJOULDE DARMAN Roger
Mise à jour des sites de production des brasseries du Cameroun, conformément aux standards qualités de la firme Heineken : Cas des usines de Douala;Dr ABDOU BOUBA Armand
Amélioration du procédé d’extraction de l’huile de poisson de quelques localités de l’Extrême-Nord;Dr MEZAJOUG KENFACK Laurette Blandine
Évaluation et maîtrise des pertes incompressibles en soja (graines et jus) sur la chaîne de production de CAMLAIT Ndokoti.;Dr GOUDOUM Augustin
Mise en place d’une organisation rationnelle du système de production à BIOTROPICAL SA;Dr NKOUAM Gilles Bernard
Mise en place d’un plan d’hygiène et HACCP lors de la fabrication des jus vimbo à SOGOPROCAM;Dr DJOULDE DARMAN Roger
Réduction des coûts de non qualité au cours de la production des boissons aromatisées à la Société Golden Product Cameroon;Dr PONKA Roger
Évaluation  de l’impact de la non-conformité en production de la boisson tampico;Dr GOUDOUM Augustin
L’impact de l’utilisation de la fumure organique dans la lutte contre la pauvreté en zone cotonnière camerounaise;Pr DANWE RAIDANDI
Encadrement des OP par la SEMRY, cas de la restructuration des GIC en coopératives rizicoles dans le périmètre de secteur Yagoua;Pr MADI ALI
Structuration des producteurs de niébé et gestion des risques de marché dans le département du Mayo-Sava ;Dr Philippe KOSMA
Contribution du conseil technico-économique au développement des groupements des producteurs et des EFA dans le Département de la Bénoué (Nord-Cameroun);Dr SOULEYMANOU KADOUAMAI
Stratégies d’adaptation des exploitations familiales agricoles face aux changements climatiques;Dr NKOUAM Gilles Bernard
Impact du financement des activités agricoles des OP et amélioration des conditions de vie des membres : cas de Maroua Ier;Dr ABDOU BOUBA Armand
Incidence de la filière arachide sur le revenu des producteurs dans la sous-préfecture de Koumogo (Tchad);Pr MADI ALI
Bénéfice économique d’une jachère améliorée arborée d’Acacia senegalensis dans les exploitations familiales agricoles;Dr SOULEYMANOU KADOUAMAI
Analyse des résiliences des exploitations familiales agricoles dans les agrosystèmes du Nord : cas de Zéra, Zanguéré, Moho et Sirlawé;Pr MADI ALI
Analyse des performances économiques des exploitations agricoles familiales dans les agrosystèmes du Nord : cas de Mowo, Sirlawé, Sanguéré et Zéra;Dr AHIDJO Paul
Les déterminants de l’adoption de l’innovation par les exploitations agricoles familiales dans l’agrosystème du Nord : cas de Mowo, Sirlawé, Sanguéré et Zéra;Pr DANWE RAIDANDI
Caractérisation phénotypique des caprins de Guider;Dr GOUDOUM Augustin
Caractérisation phénotypique des caprins de Mindif;Dr Philippe KOSMA
Influence  de la complémentation alimentaire sur production laitière  et détermination de quelques paramètres  physico-chimiques  des laits  collectés dans la ferme «  Farcha lait » à Njamena;Dr PONKA Roger
Effet d’une alimentation enrichie en feuilles du Chromolaena odorata et du Leucaena leucocephala sur les performances de croissance et survie du tilapia;Dr PONKA Roger
Performances pondérales des canards;Dr ABDOU BOUBA Armand
Présélection des vaches de race Fulani rouge pour la production laitière dans la région de l’Extrême-Nord;Dr ABDOU BOUBA Armand
Étude des performances zootechniques des ovins kababich dans la région du Ouadda;Pr MADI ALI
Impact des canaux de pêche sur le pastoralisme dans la plaine d’inondation du Logone (Extrême-Nord, Cameroun);Dr ABDOU BOUBA Armand
Effet de l’incorporation du Moringa oleifira sur les performances de croissance des lapins;Dr NKOUAM Gilles Bernard
Caractérisation technique et économique de l’élevage des bovins à la station zootechniques de Wakwa;Dr FOYET Harquin Simplice
Étude comparée de la croissance larvaire suite à l’utilisation des hormones de synthèses (suprefact + Motilium) et l’hormone hypophysaire chez Clarias gariepinus;Dr FOYET Harquin Simplice
Évaluation du processus de la préparation des vaches locales à l’insémination artificielle;Dr AZO’O ELA Michelson
Effet de la substitution de la farine de poisson par la farine d’asticot séché sur les performances de croissance des alevins de Clarias garegunis;Dr FAMENI TOPWA Sidonie
Impact de la paille traité à l’urée sur la croissance des ruminants;Pr DANWE RAIDANDI
Effet de l’amélioration de l’alimentation et performance sur la croissance pondérale chez les cobayes (Cavia porcellus);Dr GOUDOUM Augustin
Effet d’une alimentation biphasée sur les performances de production de Cobb500;Dr ABDOU BOUBA Armand
Évaluation  d’une méthode de lutte biologique sur le rendement du riz dans un agrosystème irrigué dans l’Extrême-Nord, Cameroun;Dr Philippe KOSMA
Amélioration de la croissance des plantes de cacaoyer (Theobroma cacao L.) en pépinière par les biofertilisants ;Dr Philippe KOSMA
Évaluation génétique de la résistance de trois variétés locales de niébé (Vigna unguiculata) au striga au Cameroun;Dr Philippe KOSMA
Étude des performances agro morphologiques de cinq variétés de riz Nérica dans la zone des hautes savanes guinéennes Cameroun et proposition d’amélioration variétale;Dr Philippe KOSMA
Développement et application des marqueurs moléculaires pour la mise au point des variétés de niébé (Vigna unguiculata) résistants aux pucerons (A. croccivora);Dr Philippe KOSMA
Rapid propagation of Manihot esculenta using the mini stakes multiplication technic;Dr TCHATCHOUA TCHAPDA Dorothy
Diagnostic participatif pour la lutte contre les insectes en champ du niébé : cas des insectes des fleurs;Dr GOUDOUM Augustin
Évaluation de l’effet de 8 fumures organiques sur le développement du poivrier (Piper nigrum) en pépinière;Dr GOUDOUM Augustin
Caractérisation génétiques de la population des lignées F1 et BC1 de trois variétés locales de niébé (Vigna unguiculata) du Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Vegetative growth Performance of oil palm seedlings, in response to organic and inorganic fertilizer;Dr TCHATCHOUA TCHAPDA Dorothy
Évaluation des performances agronomiques des variétés hybrides de maïs issues de l’IITA avec une variété hybride locale dans la zone agro-écologique à Bertoua Est-Cameroun;Dr Philippe KOSMA
Collecte et caractérisation des accessions de manioc au Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Effets de la densité de semis sur les caractères agro-morphologiques de deux variétés de soja (Glycine max (L)) dans les agrosystèmes de Mokolo;Dr FROUMSIA Moksia
Étude génétique de la résistance des fleurs de niébé aux thrips;Dr TCHATCHOUA TCHAPDA Dorothy
Performance qualité des bières S.A.B.C : First Time Right (FTR);Dr MEZAJOUG KENFACK Laurette Blandine
Valorisation des sorghos SP (Sorghum bicolor L. Moench) en panification;Pr DJOULDE DARMAN Roger
Ameliorating the organoleptic and rheological properties of NEIMA tomato by use food additives and appropriate operating conditions in SAGRI SA;Pr ABDOU BOUBA Armand
