code_cycle;titre_memoire
IC;Conservation des aubergines (Solanum aethiopica) par séchage
IC;Configuration des processus opérationnels dans l’unité de production du GIC-JGEPROL
IC;Audit  et actualisation des protocoles de nettoyage des équipements de SOGOPROCAM
IC;Évaluation des méthodes d’analyse de  Camlait-Bassa  et détermination de quelques paramètres physico-chimiques du lait.
IC;Conception et dimensionnement de la chaîne de production de boisson aromatisée au lait : cas de GOLDLAIT
IC;Efficacité comparée des désinfectants utilisés pour le nettoyage en place : Cas de CAMLAIT
IC;Mise à jour des sites de production des brasseries du Cameroun, conformément aux standards qualités de la firme Heineken : Cas des usines de Douala
IC;Amélioration du procédé d’extraction de l’huile de poisson de quelques localités de l’Extrême-Nord
IC;Évaluation et maîtrise des pertes incompressibles en soja (graines et jus) sur la chaîne de production de CAMLAIT Ndokoti.
IC;Mise en place d’une organisation rationnelle du système de production à BIOTROPICAL SA
IC;Mise en place d’un plan d’hygiène et HACCP lors de la fabrication des jus vimbo à SOGOPROCAM
IC;Réduction des coûts de non qualité au cours de la production des boissons aromatisées à la Société Golden Product Cameroon
IC;Évaluation  de l’impact de la non-conformité en production de la boisson tampico
IC;L’impact de l’utilisation de la fumure organique dans la lutte contre la pauvreté en zone cotonnière camerounaise
IC;Encadrement des OP par la SEMRY, cas de la restructuration des GIC en coopératives rizicoles dans le périmètre de secteur Yagoua
IC;Structuration des producteurs de niébé et gestion des risques de marché dans le département du Mayo-Sava 
IC;Contribution du conseil technico-économique au développement des groupements des producteurs et des EFA dans le Département de la Bénoué (Nord-Cameroun)
IC;Stratégies d’adaptation des exploitations familiales agricoles face aux changements climatiques
IC;Impact du financement des activités agricoles des OP et amélioration des conditions de vie des membres : cas de Maroua Ier
IC;Incidence de la filière arachide sur le revenu des producteurs dans la sous-préfecture de Koumogo (Tchad)
IC;Bénéfice économique d’une jachère améliorée arborée d’Acacia senegalensis dans les exploitations familiales agricoles
IC;Analyse des résiliences des exploitations familiales agricoles dans les agrosystèmes du Nord : cas de Zéra, Zanguéré, Moho et Sirlawé
IC;Analyse des performances économiques des exploitations agricoles familiales dans les agrosystèmes du Nord : cas de Mowo, Sirlawé, Sanguéré et Zéra
